Recipe,Cat,Subcat,Calories,Kilojoules,Fat,Saturated Fat,Cholesterol,Sodium,Carbohydrates,Fiber,Total Sugars,Protein,Calcium,URL
Herb and Potato Frittata,Vegetarian,Vegetarian Dishes,318,1331,12,3.7,285,198,39,3.4,4.4,15,123,"https://www.calorieking.com/recipes/Breakfasts/Cheese-Eggs-Protein-Substitutes/Herb-and-Potato-Frittata_Y2lkPTE1JnNpZD0zOSZyaWQ9Njk2.html
"
Honey-Capped Grapefruit,Desserts,Cold Desserts,186,778,0.8,0.4,2,205,40.6,3.3,34,8.1,64,"https://www.calorieking.com/recipes/Breakfasts/Cheese-Eggs-Protein-Substitutes/Honey-Capped-Grapefruit_Y2lkPTE1JnNpZD0zOSZyaWQ9Mjg1.html
"
Huevos Rancheros,Breakfasts,"Cheese, Eggs, Protein Substitutes",264,1105,10,2.7,268,1084,30.4,2.9,2.6,13,90,"https://www.calorieking.com/recipes/Breakfasts/Cheese-Eggs-Protein-Substitutes/Huevos-Rancheros_Y2lkPTE1JnNpZD0zOSZyaWQ9NjU5.html
"
Idaho Potato Breakfast Scramble,Breakfasts,"Cheese, Eggs, Protein Substitutes",187,780,7.6,2.2,300,420,11.1,0.9,5.7,17.1,178,"https://www.calorieking.com/recipes/Breakfasts/Cheese-Eggs-Protein-Substitutes/Idaho-Potato-Breakfast-Scramble_Y2lkPTE1JnNpZD0zOSZyaWQ9ODA0.html
"
Ku-Ku Whole Wheat Pita,Vegetarian,Vegetarian Dishes,199,833,6.1,1.7,212,281,26.5,5,3.9,11.9,76,"https://www.calorieking.com/recipes/Breakfasts/Cheese-Eggs-Protein-Substitutes/Ku-Ku-Whole-Wheat-Pita_Y2lkPTE1JnNpZD0zOSZyaWQ9ODQz.html
"
"Muffins with Mustard, Egg and Cheese",Breakfasts,"Cheese, Eggs, Protein Substitutes",229,955,6.4,1.9,189,400,30.3,3.6,4.5,14.2,204,"https://www.calorieking.com/recipes/Breakfasts/Cheese-Eggs-Protein-Substitutes/Muffins-with-Mustard-Egg-and-Cheese_Y2lkPTE1JnNpZD0zOSZyaWQ9MTMx.html
"
"Mushroom, Egg and Bacon Muffins",Breakfasts,"Cheese, Eggs, Protein Substitutes",268,1122,8.2,2.2,205,865,29,2,1.8,19,144,"https://www.calorieking.com/recipes/Breakfasts/Cheese-Eggs-Protein-Substitutes/Mushroom-Egg-and-Bacon-Muffins_Y2lkPTE1JnNpZD0zOSZyaWQ9NjYy.html
"
No-Cholesterol Omelet,Vegetarian,Vegetarian Dishes,80,335,2.5,0.2,0,410,8,1.5,4,7,36,"https://www.calorieking.com/recipes/Breakfasts/Cheese-Eggs-Protein-Substitutes/No-Cholesterol-Omelet_Y2lkPTE1JnNpZD0zOSZyaWQ9OTU.html
"
Potato and Cheese Soufflé,Fish and Shellfish,Fish Dishes,269,1126,14,5,202,300,13,0.8,1.3,22,156,"https://www.calorieking.com/recipes/Breakfasts/Cheese-Eggs-Protein-Substitutes/Potato-and-Cheese-Souffl_Y2lkPTE1JnNpZD0zOSZyaWQ9NjYz.html
"
Scrambled Egg and Mozzarella Breakfast Pizza,Breakfasts,"Cheese, Eggs, Protein Substitutes",187,780,5.4,3,18,548,18.8,3.4,5.1,17,326,"https://www.calorieking.com/recipes/Breakfasts/Cheese-Eggs-Protein-Substitutes/Scrambled-Egg-and-Mozzarella-Breakfast-Pizza_Y2lkPTE1JnNpZD0zOSZyaWQ9ODE0.html
"
Spring Herb Frittata,Vegetarian,Vegetarian Dishes,176,735,12.4,2.8,213,521,3.3,0.6,2,12.9,64,"https://www.calorieking.com/recipes/Breakfasts/Cheese-Eggs-Protein-Substitutes/Spring-Herb-Frittata_Y2lkPTE1JnNpZD0zOSZyaWQ9OTQ3.html
"
Strawberry Ricotta Soufflé,Breakfasts,"Cheese, Eggs, Protein Substitutes",264,1105,10,4,110,127,29,3,17.7,11,183,"https://www.calorieking.com/recipes/Breakfasts/Cheese-Eggs-Protein-Substitutes/Strawberry-Ricotta-Souffl_Y2lkPTE1JnNpZD0zOSZyaWQ9NTI5.html
"
Tofu Scrambler,Vegetarian,Vegetarian Dishes,120,502,7,1,0,159,4,1,0.6,10,99,"https://www.calorieking.com/recipes/Breakfasts/Cheese-Eggs-Protein-Substitutes/Tofu-Scrambler_Y2lkPTE1JnNpZD0zOSZyaWQ9MzQ4.html
"
Turkey Bacon Breakfast Burritos,Breakfasts,"Cheese, Eggs, Protein Substitutes",251,1051,9.6,3.2,111,770,28.3,1.5,80.8,12.4,82,"https://www.calorieking.com/recipes/Breakfasts/Cheese-Eggs-Protein-Substitutes/Turkey-Bacon-Breakfast-Burritos_Y2lkPTE1JnNpZD0zOSZyaWQ9NjMz.html
"
Turkey Ham Quiche in a Grits Crust,Breakfasts,"Cheese, Eggs, Protein Substitutes",262,1097,12,5,246,590,19,0.7,4,18,274,"https://www.calorieking.com/recipes/Breakfasts/Cheese-Eggs-Protein-Substitutes/Turkey-Ham-Quiche-in-a-Grits-Crust_Y2lkPTE1JnNpZD0zOSZyaWQ9NjI3.html
"
Turkey Ham Quiche in a Hash Brown Crust,Breakfasts,"Cheese, Eggs, Protein Substitutes",280,1172,12,5,247,455,23,2.6,4,20,276,"https://www.calorieking.com/recipes/Breakfasts/Cheese-Eggs-Protein-Substitutes/Turkey-Ham-Quiche-in-a-Hash-Brown-Crust_Y2lkPTE1JnNpZD0zOSZyaWQ9NjI2.html
"
Apple Oatmeal Pancakes,Vegetarian,Vegetarian Dishes,270,1143,6,0,0,197,49,8,8,8,144,"https://www.calorieking.com/recipes/Breakfasts/Pancakes-Crepes-Wraps/Apple-Oatmeal-Pancakes_Y2lkPTE1JnNpZD00MCZyaWQ9NTU1.html
"
Blueberry Ricotta Pancakes,Breakfasts,"Pancakes, Crepes, Wraps",115,595,4.8,1.9,82,114,11.9,0.6,2.9,6.1,79,"https://www.calorieking.com/recipes/Breakfasts/Pancakes-Crepes-Wraps/Blueberry-Ricotta-Pancakes_Y2lkPTE1JnNpZD00MCZyaWQ9ODE1.html
"
Breakfast Fruit Wrap,Breakfasts,"Pancakes, Crepes, Wraps",231,967,9,2,10,213,34,4,9.8,9,124,"https://www.calorieking.com/recipes/Breakfasts/Pancakes-Crepes-Wraps/Breakfast-Fruit-Wrap_Y2lkPTE1JnNpZD00MCZyaWQ9NzQz.html
"
Brown Sugar Tortilla with Cinnamon Apples,Desserts,Warm Desserts,145,605,4.4,1,0,222,25.1,2.3,10.6,2.2,39,"https://www.calorieking.com/recipes/Breakfasts/Pancakes-Crepes-Wraps/Brown-Sugar-Tortilla-with-Cinnamon-Apples_Y2lkPTE1JnNpZD00MCZyaWQ9OTA3.html
"
Crepes with Tangy Lemon Sauce,Desserts,Warm Desserts,199,833,1.8,0.3,33,52,41.1,1.5,20.2,4.9,94,"https://www.calorieking.com/recipes/Breakfasts/Pancakes-Crepes-Wraps/Crepes-with-Tangy-Lemon-Sauce_Y2lkPTE1JnNpZD00MCZyaWQ9MTU3.html
"
Daily Diva Pancakes,Breakfasts,"Pancakes, Crepes, Wraps",211,881,2.5,0.5,0,875,29.2,4.2,6,17,4,"https://www.calorieking.com/recipes/Breakfasts/Pancakes-Crepes-Wraps/Daily-Diva-Pancakes_Y2lkPTE1JnNpZD00MCZyaWQ9ODE2.html
"
Oatmeal Pancakes,Breakfasts,"Pancakes, Crepes, Wraps",67,278,0.6,0.2,1,153,11.5,1.2,2.7,3.8,106,"https://www.calorieking.com/recipes/Breakfasts/Pancakes-Crepes-Wraps/Oatmeal-Pancakes_Y2lkPTE1JnNpZD00MCZyaWQ9OTE5.html
"
Protein Pancakes,Breakfasts,"Pancakes, Crepes, Wraps",294,1226,3.1,0.7,5,229,30.2,4.6,3.3,34,47,"https://www.calorieking.com/recipes/Breakfasts/Pancakes-Crepes-Wraps/Protein-Pancakes_Y2lkPTE1JnNpZD00MCZyaWQ9ODgy.html
"
Pumpkin Pancakes,Breakfasts,"Pancakes, Crepes, Wraps",240,1003,4.9,2.8,39,246,43.1,2.1,23.8,8.1,288,"https://www.calorieking.com/recipes/Breakfasts/Pancakes-Crepes-Wraps/Pumpkin-Pancakes_Y2lkPTE1JnNpZD00MCZyaWQ9MTAxMg.html
"
Chicken Cacciatore Casserole,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Casseroles",346,1447,6.8,1.8,96,351,40,4.5,11.5,32.5,103,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Casseroles/Chicken-Cacciatore-Casserole_Y2lkPTUmc2lkPTYmcmlkPTE2NQ.html
"
Chicken Tetrazzini,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Casseroles",315,1320,1.8,0.4,26,350,51.7,2.2,8.1,21.4,146,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Casseroles/Chicken-Tetrazzini_Y2lkPTUmc2lkPTYmcmlkPTk0NQ.html
"
East African Braised Chicken,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Casseroles",442,1851,6.6,1.3,132,513,35.8,3.9,24,54.9,78,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Casseroles/East-African-Braised-Chicken_Y2lkPTUmc2lkPTYmcmlkPTQ2NA.html
"
Erin's White Chili,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Casseroles",225,939,1.7,0.7,25,659,33.2,9.7,3.2,19.8,105,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Casseroles/Erins-White-Chili_Y2lkPTUmc2lkPTYmcmlkPTkxNg.html
"
Feijoa-Chicken Curry,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Casseroles",280,1172,9,1.6,70,161,19,4.6,10.2,30.6,59,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Casseroles/Feijoa-Chicken-Curry_Y2lkPTUmc2lkPTYmcmlkPTQzMQ.html
"
Ginger Chicken,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Casseroles",407,1704,4.7,1,79,411,50,3,4.5,39,62,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Casseroles/Ginger-Chicken_Y2lkPTUmc2lkPTYmcmlkPTE5MQ.html
"
Low-Fat Creamy Chicken and Veggies,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Casseroles",455,1901,9.7,3.1,134,1118,47.2,6.7,7,45.7,59,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Casseroles/Low-Fat-Creamy-Chicken-and-Veggies_Y2lkPTUmc2lkPTYmcmlkPTg0OA.html
"
Macaroni Turkey,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Casseroles",244,1021,3.9,1.3,11,375,38.4,2.5,5.8,13.7,124,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Casseroles/Macaroni-Turkey_Y2lkPTUmc2lkPTYmcmlkPTMxMQ.html
"
Mushroom and Chicken Coq au Vin,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Casseroles",357,1509,9,2.5,132,1036,9,3.5,3,54,28,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Casseroles/Mushroom-and-Chicken-Coq-au-Vin_Y2lkPTUmc2lkPTYmcmlkPTY2OQ.html
"
Quick Cabbage Kielbasa,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Casseroles",281,1174,9,3.3,52,733,35.4,5.3,9.3,15.6,81,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Casseroles/Quick-Cabbage-Kielbasa_Y2lkPTUmc2lkPTYmcmlkPTkxNQ.html
"
Turkey Eggplant Casserole,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Casseroles",253,1059,8,2.7,61,415,13.3,4.2,7.5,31.7,300,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Casseroles/Turkey-Eggplant-Casserole_Y2lkPTUmc2lkPTYmcmlkPTg4OQ.html
"
"Turkey Kielbasa with Cabbage, Sweet Potatoes and Apples","Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Casseroles",263,1101,11,2,51,500,27,5,11,14,118,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Casseroles/Turkey-Kielbasa-with-Cabbage-Sweet-Potatoes-and-Apples_Y2lkPTUmc2lkPTYmcmlkPTYxOQ.html
"
All-American Stuffed Turkey Burger,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",280,1126,6,1,108,476,20,2,3.4,39,71,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/All-American-Stuffed-Turkey-Burger_Y2lkPTUmc2lkPTE5JnJpZD01Nzc.html
"
All-American Turkey Burgers,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",379,1587,10.6,2.4,70,774,43,2.6,11,29,74,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/All-American-Turkey-Burgers_Y2lkPTUmc2lkPTE5JnJpZD03MTY.html
"
Apple Turkey Burgers,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",342,1432,9,0.5,66,529,38.7,2,21,24.8,37,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Apple-Turkey-Burgers_Y2lkPTUmc2lkPTE5JnJpZD03MzY.html
"
Asian Mango Chicken Wraps,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",403,1685,10.1,2,47,627,53.7,7.8,22.4,28.1,220,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Asian-Mango-Chicken-Wraps_Y2lkPTUmc2lkPTE5JnJpZD0xMDAz.html
"
Asparagus Chicken,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",160,668,7.5,1.3,82,193,1.8,0.6,0.8,20.8,17,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Asparagus-Chicken_Y2lkPTUmc2lkPTE5JnJpZD01MDI.html
"
BBQ Chicken and Cheddar Foil Packet Dinner,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",286,1197,4.8,2.3,77,753,19,2.4,3,40,207,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/BBQ-Chicken-and-Cheddar-Foil-Packet-Dinner_Y2lkPTUmc2lkPTE5JnJpZD03Mjk.html
"
Baked Chicken with Mushrooms,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",153,638,1.8,0.5,69,276,3.5,1.1,1.7,30.4,19,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Baked-Chicken-with-Mushrooms_Y2lkPTUmc2lkPTE5JnJpZD05NA.html
"
Baked Rosemary Drumsticks,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",320,1340,11,2,82,309,21.6,2.5,2.2,32,90,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Baked-Rosemary-Drumsticks_Y2lkPTUmc2lkPTE5JnJpZD00ODk.html
"
Barbecue Chicken Breasts with Potato Kebobs,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",281,1184,14,2,50,594,12,2.5,1,25,10,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Barbecue-Chicken-Breasts-with-Potato-Kebobs_Y2lkPTUmc2lkPTE5JnJpZD01OTY.html
"
Basil and Lemon Chicken Thighs,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",149,624,9.3,2.2,91,505,3,0.2,1.1,21.9,41,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Basil-and-Lemon-Chicken-Thighs_Y2lkPTUmc2lkPTE5JnJpZD02NzM.html
"
Braised Chicken,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",351,1466,3.7,0.9,149,759,9.6,1,5.4,60.2,129,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Braised-Chicken_Y2lkPTUmc2lkPTE5JnJpZD0yOTE.html
"
Cajun Chicken Pasta,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",445,1862,5.2,2.2,78,506,56.6,2.5,8.4,41.1,186,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Cajun-Chicken-Pasta_Y2lkPTUmc2lkPTE5JnJpZD05NDY.html
"
Chicken Avocado Risotto,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",383,1606,9.1,1.1,68,611,47.8,3.5,3.3,31.4,38,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Chicken-Avocado-Risotto_Y2lkPTUmc2lkPTE5JnJpZD0yMjE.html
"
Chicken Cherry Wraps,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",284,1189,5,1,49,500,33,3,11,24,118,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Chicken-Cherry-Wraps_Y2lkPTUmc2lkPTE5JnJpZD02MDk.html
"
Chicken Kiev,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",313,1309,8,1.3,112,447,26,2.2,3.1,33,79,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Chicken-Kiev_Y2lkPTUmc2lkPTE5JnJpZD0zMg.html
"
Chicken Marengo,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",330,1379,3.4,0.5,72,434,49.5,7.1,7.1,27.4,78,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Chicken-Marengo_Y2lkPTUmc2lkPTE5JnJpZD05ODA.html
"
Chicken Yogurt Char-Grilled,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",206,863,10,1,34,168,7,0,6.4,22,164,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Chicken-Yogurt-Char-Grilled_Y2lkPTUmc2lkPTE5JnJpZD0xMjQ.html
"
Chicken and Broccoli,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",362,1515,12,2.7,119,351,11.4,2.7,2,48,58,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Chicken-and-Broccoli_Y2lkPTUmc2lkPTE5JnJpZD0yNDI.html
"
Chicken with Mustard Sauce,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",211,883,5,1.3,72,746,12.7,2,7.4,27.4,43,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Chicken-with-Mustard-Sauce_Y2lkPTUmc2lkPTE5JnJpZD0xOTY.html
"
Chicken with Orange Winter Squash and Zucchini,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",199,834,5.2,2.5,58,270,17.2,3.6,5.2,22.7,77,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Chicken-with-Orange-Winter-Squash-and-Zucchini_Y2lkPTUmc2lkPTE5JnJpZD00OTE.html
"
Chicken with Shitake Mushrooms and Artichoke Hearts,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",212,885,9.6,4,49,718,10.3,2.9,4.2,21.8,152,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Chicken-with-Shitake-Mushrooms-and-Artichoke-Hearts_Y2lkPTUmc2lkPTE5JnJpZD04NzU.html
"
Chicken with Sweet Potato Salad,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",311,1299,12.5,5.1,90,539,13.9,2.5,6.4,34.7,182,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Chicken-with-Sweet-Potato-Salad_Y2lkPTUmc2lkPTE5JnJpZD00OTc.html
"
Citrus Roasted Turkey,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",220,921,6.1,1.4,111,100,6.2,0.3,4.9,33.6,28,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Citrus-Roasted-Turkey_Y2lkPTUmc2lkPTE5JnJpZD00NDM.html
"
Creamed Corn and Bacon Quiche,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",308,1289,13.6,5,124,292,33.3,1,8.5,13.7,261,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Creamed-Corn-and-Bacon-Quiche_Y2lkPTUmc2lkPTE5JnJpZD05Mg.html
"
Crumbed Chicken and Sweet Mango Chili,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",500,2093,13.7,1.6,113,706,59,3,20,36,27,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Crumbed-Chicken-and-Sweet-Mango-Chili_Y2lkPTUmc2lkPTE5JnJpZD0zNTA.html
"
Curried Chicken Pasties,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",190,797,6,1.3,24,324,23.2,2.3,0.8,10.8,14.6,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Curried-Chicken-Pasties_Y2lkPTUmc2lkPTE5JnJpZD03.html
"
Easy Chicken Pot Pie,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",274,1147,12,2,50,209,23,2,1.6,19,27,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Easy-Chicken-Pot-Pie_Y2lkPTUmc2lkPTE5JnJpZD02NDk.html
"
Eggplant and Chicken Couscous,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",284,1190,1.8,0.6,22,375,53.2,8.5,12.8,16.9,140,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Eggplant-and-Chicken-Couscous_Y2lkPTUmc2lkPTE5JnJpZD0xNjI.html
"
Garlic Chicken with Asparagus and Mushrooms,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",141,590,1.7,0.1,60,527,8.3,2.3,2.6,26.7,46,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Garlic-Chicken-with-Asparagus-and-Mushrooms_Y2lkPTUmc2lkPTE5JnJpZD0zMzk.html
"
Grilled Orange Chicken Strips,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",264,1105,15,2.2,66,656,4.5,0.7,3,26.6,36,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Grilled-Orange-Chicken-Strips_Y2lkPTUmc2lkPTE5JnJpZD02MDU.html
"
Healthy Jambalaya,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",150,628,3,1,33,136,15,2,2.6,15,38,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Healthy-Jambalaya_Y2lkPTUmc2lkPTE5JnJpZD02ODY.html
"
Hot Chicken Stir-Fry,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",304,1273,9.4,2,58,83,28,2.6,14,28,69,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Hot-Chicken-Stir-Fry_Y2lkPTUmc2lkPTE5JnJpZD01NjI.html
"
Lemon Chicken with Olives,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",202,851,9,2,50,500,7.5,2,6,24.5,18.3,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Lemon-Chicken-with-Olives_Y2lkPTUmc2lkPTE5JnJpZD02MzI.html
"
Mini Pot Pies,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",90,377,1,0.4,10,456,13,0.1,1.4,7,28,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Mini-Pot-Pies_Y2lkPTUmc2lkPTE5JnJpZD01Njc.html
"
Mushroom and Chicken with Lemon,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",232,969,11.5,2,96,106,6.4,2.3,2.2,25.2,30,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Mushroom-and-Chicken-with-Lemon_Y2lkPTUmc2lkPTE5JnJpZD03ODI.html
"
New Fashioned Grilled Dogs with Mustard Salsa,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",204,854,10.5,3,48,963,18,2,2.8,9.4,95,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/New-Fashioned-Grilled-Dogs-with-Mustard-Salsa_Y2lkPTUmc2lkPTE5JnJpZD03MzA.html
"
Patio Artichoke Supper,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",434,1817,12,2,40,786,56,11,5.4,27,110,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Patio-Artichoke-Supper_Y2lkPTUmc2lkPTE5JnJpZD01NDI.html
"
Peanut Chicken Stir-Fry with Noodles,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",260,1085,4.7,0.7,40,577,25.9,4.5,4.7,25.2,38,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Peanut-Chicken-Stir-Fry-with-Noodles_Y2lkPTUmc2lkPTE5JnJpZD04ODE.html
"
Peppered Turkey Medallions with Chutney Sauce,"Chicken, Turkey, Fowl and Egg","Chicken, Turkey, Fowl Dishes",184,770,4,1,75,125,8,1,6,29,40,"https://www.calorieking.com/recipes/Chicken-Turkey-Fowl-and-Egg/Chicken-Turkey-Fowl-Dishes/Peppered-Turkey-Medallions-with-Chutney-Sauce_Y2lkPTUmc2lkPTE5JnJpZD01MTU.html
"
